term,estimate,std.error,statistic,p.value,metadata_var,pathway,fdr
factor(age_1_5_years_3)2,1.4456306832109742e-5,1.259702572967742e-5,1.147596832961294,0.2517163707707657,age_1_5_years_3,P461_PWY,0.2517163707707657
factor(age5_10_years_3)2,1.852945804221429e-5,1.2369253646246252e-5,1.49802555369519,0.1347950609717544,age5_10_years_3,P461_PWY,0.1347950609717544
factor(age_10_18_years_3)2,2.8943488414848997e-6,1.2232895793023842e-5,0.23660373557138326,0.8130668673312613,age_10_18_years_3,P461_PWY,0.8130668673312613
factor(age_1_5_years_5)2,-7.126914271270238e-6,1.3321332069484005e-5,-0.5350001211662834,0.5929022548970282,age_1_5_years_5,P461_PWY,0.5929022548970282
factor(age_5_10_years_5)2,-7.568919462978443e-7,1.1715770663434362e-5,-0.06460453759650234,0.9485162237108146,age_5_10_years_5,P461_PWY,0.9485162237108146
factor(age_10_18_years_5)2,1.4154567195569655e-5,1.1459635435862003e-5,1.2351673205304665,0.21738401145771133,age_10_18_years_5,P461_PWY,0.21738401145771133
factor(age_1_5_years_6)2,-6.1719180172605894e-6,1.2295858062921331e-5,-0.5019509810276896,0.6159360661985509,age_1_5_years_6,P461_PWY,0.6159360661985509
factor(age_5_10_years_6)2,2.0872149133103523e-6,1.2803242046913924e-5,0.16302237399420655,0.8705705915285342,age_5_10_years_6,P461_PWY,0.8705705915285342
factor(age_10_18_years_6)2,1.5451394854514908e-6,1.3475933833587818e-5,0.11465917720672827,0.9087640305730785,age_10_18_years_6,P461_PWY,0.9087640305730785
factor(age_1_5_years_7)2,-1.4224195940879634e-5,1.281654030880857e-5,-1.1098311711393447,0.26763688582323386,age_1_5_years_7,P461_PWY,0.26763688582323386
factor(age_5_10_years_7)2,-1.704219942206831e-6,1.4295620873903293e-5,-0.11921272655725577,0.9051575451019597,age_5_10_years_7,P461_PWY,0.9051575451019597
factor(age_10_18_years_7)2,4.917533826209993e-7,1.6135954643831915e-5,0.03047562995034667,0.9757006106427133,age_10_18_years_7,P461_PWY,0.9757006106427133
factor(age_1_5_years_8)2,4.749744498630047e-6,1.3058578005458447e-5,0.3637260118708689,0.7162258237376433,age_1_5_years_8,P461_PWY,0.7162258237376433
factor(age_5_10_years_8)2,1.3417190396779176e-5,1.1850068701382311e-5,1.1322457898673668,0.2581072002341993,age_5_10_years_8,P461_PWY,0.2581072002341993
factor(age_10_18_years_8)2,1.7574700119536938e-5,1.1762798328301476e-5,1.4940917653286578,0.1358241016122264,age_10_18_years_8,P461_PWY,0.1358241016122264
factor(age_1_5_yers_9)2,1.4105630611306246e-6,1.2371323717019955e-5,0.11401876576796954,0.909271399981386,age_1_5_yers_9,P461_PWY,0.909271399981386
factor(age_5_10_years_9)2,7.68074260693188e-6,1.1986309908665562e-5,0.6407929267187602,0.5219682119390492,age_5_10_years_9,P461_PWY,0.5219682119390492
factor(age_10_18_years_9)2,1.1661828427205526e-5,1.241560630207243e-5,0.9392878723336224,0.3480633778886314,age_10_18_years_9,P461_PWY,0.3480633778886314
factor(age_1_5_years_10)2,-2.8741709819858553e-6,1.597223740361226e-5,-0.17994792522529351,0.857270678497902,age_1_5_years_10,P461_PWY,0.857270678497902
factor(age_5_10_years_10)2,-1.8037593975548817e-6,1.2579235160435313e-5,-0.14339181790862246,0.8860419400942736,age_5_10_years_10,P461_PWY,0.8860419400942736
factor(age_10_18_years_10)2,6.744695391798196e-6,1.2900522738205288e-5,0.5228234179862787,0.6013424640234769,age_10_18_years_10,P461_PWY,0.6013424640234769
factor(age_1_5_years_11)2,3.348968141992218e-6,1.3862218390953398e-5,0.24158962494616182,0.8092033046502461,age_1_5_years_11,P461_PWY,0.8092033046502461
factor(age_5_10_years_11)2,4.489882015763466e-6,1.2212644844508389e-5,0.36764206876796335,0.7133049363710076,age_5_10_years_11,P461_PWY,0.7133049363710076
factor(age_10_18_years_11)2,7.517699827466064e-6,1.3029165900246427e-5,0.5769901070431438,0.5642212217310211,age_10_18_years_11,P461_PWY,0.5642212217310211
factor(age_1_5_years_12)2,5.7360409700453e-6,1.1262007216803926e-5,0.5093266999053785,0.6107612739140792,age_1_5_years_12,P461_PWY,0.6107612739140792
factor(age_5_10_years_12)2,1.0616474314247385e-5,1.2300369334234504e-5,0.8631020765124112,0.3885196884770893,age_5_10_years_12,P461_PWY,0.3885196884770893
factor(age_10_18_years_12)2,1.2365624419619533e-6,1.338032844779226e-5,0.0924164490271526,0.9264063821287456,age_10_18_years_12,P461_PWY,0.9264063821287456
factor(breast_fed)2,-1.8120959630884277e-5,1.4094284679890905e-5,-1.2856955881371157,0.19918107184375625,breast_fed,PENTOSE_P_PWY,0.19918107184375625
factor(baby_food)2,-6.532902635064708e-6,1.6504846310562408e-5,-0.3958172352616168,0.6924198556969471,baby_food,PENTOSE_P_PWY,0.6924198556969471
factor(family_food)2,5.264008777972271e-6,2.6924835057365783e-5,0.1955075589787951,0.845080113007797,family_food,PENTOSE_P_PWY,0.845080113007797
factor(age_4_12_months_3)2,1.2555565317603789e-5,1.322805660271303e-5,0.9491617472387202,0.34302407570950877,age_4_12_months_3,PENTOSE_P_PWY,0.34302407570950877
factor(age_1_5_years_3)2,1.2591584065141924e-5,1.3032810895431069e-5,0.9661449219336232,0.3344664262235165,age_1_5_years_3,PENTOSE_P_PWY,0.3344664262235165
factor(age5_10_years_3)2,1.0737110062353046e-5,1.2812818374589316e-5,0.8379975231403527,0.40245623623755744,age5_10_years_3,PENTOSE_P_PWY,0.40245623623755744
factor(age_10_18_years_3)2,3.298143799787437e-6,1.2650794692147296e-5,0.26070645204879406,0.794432591959225,age_10_18_years_3,PENTOSE_P_PWY,0.794432591959225
factor(age_1_5_years_5)2,-8.065805869191653e-6,1.3820347930744664e-5,-0.5836181483715406,0.5597566129643889,age_1_5_years_5,PENTOSE_P_PWY,0.5597566129643889
factor(age_5_10_years_5)2,2.9452277621699634e-6,1.21154525578499e-5,0.24309680122197977,0.8080360178493969,age_5_10_years_5,PENTOSE_P_PWY,0.8080360178493969
factor(age_10_18_years_5)2,2.4277045832055922e-5,1.182353780976164e-5,2.0532810249071587,0.04059704545335412,age_10_18_years_5,PENTOSE_P_PWY,0.04059704545335412
factor(age_1_5_years_6)2,-1.0526398402974652e-5,1.2710231206545957e-5,-0.8281830780193361,0.40798538322148126,age_1_5_years_6,PENTOSE_P_PWY,0.40798538322148126
