term,estimate,std.error,statistic,p.value,metadata_var,pathway,fdr
sucmgkgday,2.9332483243956865e-6,2.259022451902568e-6,1.2984591286046228,0.19477181647345976,sucmgkgday,METSYN_PWY,0.19477181647345976
sacmgkgday,8.219721488309616e-6,3.01045899797264e-6,2.7303881214941295,0.006565700699005421,sacmgkgday,METSYN_PWY,0.006565700699005421
totaladmgkgday,-8.434225423270267e-9,1.2772717313411566e-8,-0.660331330938812,0.509367491448527,totaladmgkgday,METSYN_PWY,0.509367491448527
totalasmgkgday,1.0757489577042223e-6,7.289289233616743e-7,1.4757940359165382,0.14067454805026142,totalasmgkgday,METSYN_PWY,0.14067454805026142
totalemmgkgday,-8.961839134733882e-9,1.2811483297820763e-8,-0.6995161236527775,0.4845785590224654,totalemmgkgday,METSYN_PWY,0.4845785590224654
p80,-3.8902411628824173e-13,2.163394980435498e-12,-0.17982112365349484,0.8573709977416982,p80,P161_PWY,0.8573709977416982
cmc,6.65481556840569e-15,7.231744207063262e-13,0.009202227537176876,0.9926617180345741,cmc,P161_PWY,0.9926617180345741
crn,-6.951441991864975e-13,1.5562471474952064e-12,-0.44667982222832553,0.6553133166930379,crn,P161_PWY,0.6553133166930379
alsio,1.6576239110958113e-10,5.313071865750334e-10,0.31198974020685766,0.7551875661886326,alsio,P161_PWY,0.7551875661886326
so32,1.9751964548003597e-10,1.4102037148998073e-10,1.4006461860304305,0.161983986791903,so32,P161_PWY,0.161983986791903
tio2,1.3173339607726693e-10,6.97822909496065e-11,1.8877768884429234,0.05967563837458816,tio2,P161_PWY,0.05967563837458816
asp,7.038613060152511e-11,5.2246937082654384e-11,1.3471819504016975,0.17857494320438086,asp,P161_PWY,0.17857494320438086
suc,1.0468941480287328e-10,8.214053355793617e-11,1.2745158847675697,0.2031144547954957,suc,P161_PWY,0.2031144547954957
sac,2.822542020654221e-10,1.088515447975065e-10,2.5930197186497606,0.009812226191275133,sac,P161_PWY,0.009812226191275133
totalad,-4.1375876852017085e-14,4.0254478461535434e-13,-0.10278577299555175,0.9181771183159043,totalad,P161_PWY,0.9181771183159043
totalas,4.522943928408858e-11,2.6370985187515103e-11,1.7151213336353353,0.08698633851999912,totalas,P161_PWY,0.08698633851999912
totalem,-5.820663981928977e-14,4.0361366679952976e-13,-0.1442137484611004,0.8853938968639131,totalem,P161_PWY,0.8853938968639131
p80mgkgday,-7.762981279591084e-9,6.38770194298975e-8,-0.12153011128064058,0.9033235527140504,p80mgkgday,P161_PWY,0.9033235527140504
cmcmgkgday,2.211973379227189e-9,2.1356262879575364e-8,0.10357492749083311,0.9175512446277916,cmcmgkgday,P161_PWY,0.9175512446277916
crnmgkgday,-1.9602963845727856e-8,4.593639729457418e-8,-0.42674142945997373,0.6697647483622533,crnmgkgday,P161_PWY,0.6697647483622533
alsiomgkgday,9.406650689483072e-6,1.2492022216516848e-5,0.7530126449059366,0.4518225553063535,alsiomgkgday,P161_PWY,0.4518225553063535
so32mgkgday,5.4328376288275855e-6,3.687410637172141e-6,1.4733476044300846,0.1413324655662058,so32mgkgday,P161_PWY,0.1413324655662058
tio2mgkgday,2.4099926345350618e-6,1.1672853243318194e-6,2.0646131535274774,0.03951234343584247,tio2mgkgday,P161_PWY,0.03951234343584247
aspmgkgday,1.8915025078809474e-6,1.3326214484117326e-6,1.4193847098403751,0.15645544187736588,aspmgkgday,P161_PWY,0.15645544187736588
sucmgkgday,2.624998196166103e-6,2.1037318350304032e-6,1.2477817526244577,0.21273763198836373,sucmgkgday,P161_PWY,0.21273763198836373
sacmgkgday,7.197729022558612e-6,2.8057164717870493e-6,2.565380035700525,0.01061811868107944,sacmgkgday,P161_PWY,0.01061811868107944
totaladmgkgday,-2.2299270120918188e-10,1.1898607496674304e-8,-0.01874107548059796,0.9850556818669907,totaladmgkgday,P161_PWY,0.9850556818669907
totalasmgkgday,1.181718588868567e-6,6.781051831746717e-7,1.7426774167042025,0.0820496277825064,totalasmgkgday,P161_PWY,0.0820496277825064
totalemmgkgday,-9.030093425761327e-10,1.1935333384734361e-8,-0.07565849343857524,0.9397232678547097,totalemmgkgday,P161_PWY,0.9397232678547097
p80,-1.6038841723744577e-12,1.7915808308679185e-12,-0.8952340551653857,0.37112316823021085,p80,P4_PWY,0.37112316823021085
cmc,-4.27329021072839e-13,5.990519794801206e-13,-0.7133421400989124,0.4759903815402545,cmc,P4_PWY,0.4759903815402545
crn,-1.6256662747127021e-12,1.2879222416763779e-12,-1.2622394598890627,0.2074926203221672,crn,P4_PWY,0.2074926203221672
alsio,-1.6085956991778721e-10,4.403386388464377e-10,-0.3653087776698262,0.7150463201356717,alsio,P4_PWY,0.7150463201356717
so32,7.446533888041942e-11,1.170744194479437e-10,0.63605131873859,0.5250545624763756,so32,P4_PWY,0.5250545624763756
tio2,2.7570393978392016e-11,5.804288637037174e-11,0.4750003954397666,0.635008756372482,tio2,P4_PWY,0.635008756372482
asp,1.9273146575809713e-11,4.3377969442559955e-11,0.444307256044586,0.6570262746312479,asp,P4_PWY,0.6570262746312479
suc,6.401419742235292e-11,6.813328735924699e-11,0.9395436489776972,0.3479373875448597,suc,P4_PWY,0.3479373875448597
sac,2.2623323031481726e-10,9.025991282592395e-11,2.5064640905551574,0.012533378924762084,sac,P4_PWY,0.012533378924762084
totalad,-2.895157827466048e-13,3.3337006395230434e-13,-0.868451651939648,0.3855932025560558,totalad,P4_PWY,0.3855932025560558
totalas,2.4710607574641305e-11,2.1895574598332182e-11,1.128566298347957,0.25966025812564186,totalas,P4_PWY,0.25966025812564186
totalem,-2.982442118371636e-13,3.342439282378964e-13,-0.8922950774587887,0.37269432818969916,totalem,P4_PWY,0.37269432818969916
p80mgkgday,-4.0771115946453144e-8,5.291080321755411e-8,-0.7705631641767743,0.44135638485569084,p80mgkgday,P4_PWY,0.44135638485569084
cmcmgkgday,-1.0523077671200593e-8,1.7694359492934054e-8,-0.5947136812385216,0.5523235171349268,cmcmgkgday,P4_PWY,0.5523235171349268
crnmgkgday,-4.575902558025096e-8,3.8022200291835275e-8,-1.2034817877196091,0.22940094774849187,crnmgkgday,P4_PWY,0.22940094774849187
alsiomgkgday,-7.287807606909016e-8,1.0360151969676153e-5,-0.007034460139426724,0.9943903695130175,alsiomgkgday,P4_PWY,0.9943903695130175
so32mgkgday,2.7433182101667273e-6,3.0607369260579545e-6,0.896293368701882,0.37055886845073494,so32mgkgday,P4_PWY,0.37055886845073494
tio2mgkgday,3.3863640878730374e-7,9.717779929470054e-7,0.34847095863979993,0.7276438955956147,tio2mgkgday,P4_PWY,0.7276438955956147
aspmgkgday,8.836190542012474e-7,1.1061544152290007e-6,0.79882070896794,0.42480131743523586,aspmgkgday,P4_PWY,0.42480131743523586
sucmgkgday,2.3049424073882536e-6,1.7432952253100656e-6,1.3221755982141765,0.18675828328834357,sucmgkgday,P4_PWY,0.18675828328834357
sacmgkgday,6.325522107314068e-6,2.3234415143962603e-6,2.7224795925012715,0.006722361701006176,sacmgkgday,P4_PWY,0.006722361701006176
totaladmgkgday,-7.430949078891626e-9,9.856005049348938e-9,-0.7539514277524133,0.4512591762131176,totaladmgkgday,P4_PWY,0.4512591762131176
totalasmgkgday,8.36253730803671e-7,5.625350816873088e-7,1.486580584974986,0.13780186739523143,totalasmgkgday,P4_PWY,0.13780186739523143
totalemmgkgday,-7.797996431311399e-9,9.885913756791488e-9,-0.7887987517546652,0.4306307476942465,totalemmgkgday,P4_PWY,0.4306307476942465
p80,9.10721878565701e-13,2.4408365902576586e-12,0.37311874223811264,0.7092293695999602,p80,P461_PWY,0.7092293695999602
cmc,4.0163939454841387e-13,8.157986764707798e-13,0.49232660720405047,0.6227198379237487,cmc,P461_PWY,0.6227198379237487
crn,1.1366921711118974e-13,1.756394031121312e-12,0.06471737838839121,0.9484267190600699,crn,P461_PWY,0.9484267190600699
alsio,-4.263137490230759e-12,5.995749764745044e-10,-0.0071102658674949545,0.994329912734059,alsio,P461_PWY,0.994329912734059
so32,1.0530641036205839e-10,1.5938294210685377e-10,0.6607131790267662,0.5091220555681256,so32,P461_PWY,0.5091220555681256
tio2,7.895207594328176e-11,7.895581649341967e-11,0.9999526247678254,0.3178512718402092,tio2,P461_PWY,0.3178512718402092
asp,4.9791766364543254e-11,5.902350858527378e-11,0.8435921136847866,0.3993292628498579,asp,P461_PWY,0.3993292628498579
suc,9.447457627473008e-11,9.274321121607495e-11,1.0186683751398402,0.3088878641163059,suc,P461_PWY,0.3088878641163059
sac,3.6101098318598167e-10,1.2257298301660003e-10,2.9452736998094435,0.0033878129223806805,sac,P461_PWY,0.0033878129223806805
totalad,1.7711237430643856e-13,4.5415174407072574e-13,0.38998501408123315,0.6967254315321114,totalad,P461_PWY,0.6967254315321114
totalas,4.349993269447946e-11,2.9781921906194795e-11,1.4606153636253827,0.14479346227547407,totalas,P461_PWY,0.14479346227547407
totalem,1.644536550566084e-13,4.553732074562416e-13,0.36114038411539906,0.7181578217469592,totalem,P461_PWY,0.7181578217469592
p80mgkgday,2.6416208040715064e-8,7.205614965486156e-8,0.3666058784329283,0.7140794195865836,p80mgkgday,P461_PWY,0.7140794195865836
cmcmgkgday,1.1991325163119207e-8,2.4087789765715084e-8,0.4978175781070142,0.6188474580837848,cmcmgkgday,P461_PWY,0.6188474580837848
crnmgkgday,2.5410528353210174e-11,5.1835097362709436e-8,4.902185902228227e-4,0.9996090719525954,crnmgkgday,P461_PWY,0.9996090719525954
alsiomgkgday,3.2332318900381072e-6,1.4101147647750049e-5,0.22928856365488773,0.8187452400789956,alsiomgkgday,P461_PWY,0.8187452400789956
so32mgkgday,3.2510256991655535e-6,4.167056479460018e-6,0.7801731786430773,0.43568503270605985,so32mgkgday,P461_PWY,0.43568503270605985
tio2mgkgday,9.897999434893482e-7,1.322133893032427e-6,0.7486382042738179,0.4544529842276539,tio2mgkgday,P461_PWY,0.4544529842276539
aspmgkgday,1.5062913006133692e-6,1.5050796366956218e-6,1.0008050497051488,0.31744045705947266,aspmgkgday,P461_PWY,0.31744045705947266
