feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Pathway11	Region	AUS	-0.231771283201667	0.172360616008282	410	406	0.179473008706376	0.238340155562067
Pathway14	Region	AUS	0.0525876613648588	0.0394864379980422	410	410	0.18367256766467	0.241981319304248
Pathway20	Region	AUS	0.0650609002762486	0.0495321195701227	410	410	0.189749536075626	0.248019078650031
Pathway76	Region	AUS	0.0321503729978772	0.0254508782674409	410	410	0.207227074864491	0.266664297887639
Pathway86	Region	AUS	0.0321503729978772	0.0254508782674409	410	410	0.207227074864491	0.266664297887639
Pathway156	Region	AUS	0.0986896732930852	0.0793250567921369	410	409	0.214170669932634	0.273479470837055
Pathway141	Region	AUS	-0.0623690705202812	0.0528770726890443	410	410	0.23888221032796	0.302705701636956
Pathway9	Region	AUS	0.0382623217224353	0.0334799330302506	410	410	0.253773769827688	0.316740193920273
Pathway104	Region	AUS	0.173142551450467	0.151392511584225	410	408	0.253432518423259	0.316740193920273
Pathway111	Region	AUS	-0.095510694045779	0.0851783599475173	410	410	0.262818713318721	0.325581391126176
Pathway80	Region	AUS	-0.0723062378545365	0.065860400999503	410	410	0.272908218990139	0.335576032239727
Pathway116	Region	AUS	0.0364400881984023	0.033419184305163	410	410	0.276183039881904	0.337105769267618
Pathway130	Region	AUS	-0.113767187011041	0.116209636985645	410	410	0.328168808263512	0.39763519833389
Pathway5	Region	AUS	-0.0277750113308446	0.0292168663081075	410	410	0.34234491357537	0.411806200387764
Pathway135	Region	AUS	0.0377888436317823	0.0400111481198749	410	410	0.34549467184464	0.412605147670578
Pathway119	Region	AUS	-0.0497370492428947	0.054829657331955	410	410	0.364879064100697	0.432642318862255
Pathway6	Region	AUS	-0.118704019664325	0.144012885998173	410	408	0.410273597568463	0.48301714323663
Pathway122	Region	AUS	-0.0394949469825992	0.0510387387597269	410	410	0.439483639390025	0.513762564357353
Pathway85	Region	AUS	-0.0404164199401205	0.0539123733448528	410	410	0.453886287821964	0.52688897747165
Pathway35	Region	AUS	-0.151437141135876	0.206969691171465	410	394	0.464779356768191	0.533018653417145
Pathway73	Region	AUS	0.072167799029488	0.0988111062069024	410	410	0.465588582804132	0.533018653417145
Pathway28	Region	AUS	-0.0824951783148611	0.118916361584087	410	409	0.488249837953364	0.547631575001746
Pathway112	Region	AUS	-0.0741512681386523	0.105825877370129	410	410	0.483895099940716	0.547631575001746
Pathway155	Region	AUS	-0.0218047601241677	0.0312167757076794	410	410	0.485265648049615	0.547631575001746
Pathway121	Region	AUS	-0.0662298792545048	0.0984997380186163	410	401	0.501718369336281	0.555234995398818
Pathway144	Region	AUS	0.0250515014679331	0.036973786848468	410	410	0.49844258296978	0.555234995398818
Pathway67	Region	AUS	-0.0478729866063633	0.0727608688047905	410	410	0.510941548635464	0.561697331612497
Pathway22	Region	AUS	0.0662416811881844	0.104506501543922	410	410	0.526532433701463	0.575028842068703
Pathway50	Region	AUS	-0.0200641001525852	0.0336354988072699	410	410	0.551161652556388	0.597612364375572
Pathway137	Region	AUS	-0.0563647047649918	0.0952666874237789	410	409	0.554411470565289	0.597612364375572
Pathway162	Region	AUS	-0.0467083063976988	0.096364047507554	410	409	0.628144477241063	0.672722472400106
Pathway157	Region	AUS	-0.0304542848944528	0.0674905934100336	410	410	0.652058143414671	0.693856742351509
Pathway126	Region	AUS	0.0455784422088784	0.105253387253374	410	409	0.665217883290348	0.703351392523553
Pathway58	Region	AUS	-0.0112710727376808	0.0289455717081498	410	410	0.697191937971608	0.732492795590424
Pathway27	Region	AUS	-0.0143490135635152	0.0452725519409731	410	410	0.751445697247544	0.784528212220706
Pathway51	Region	AUS	-0.0443502350378318	0.180939381598149	410	405	0.806493711591816	0.83673722577651
Pathway102	Region	AUS	0.0295708000525729	0.13497481625696	410	408	0.82669429895419	0.852368034946556
Pathway127	Region	AUS	0.00547361832355998	0.045603969255399	410	410	0.90452239074652	0.926856276937792
Pathway26	Region	AUS	-0.00384138709143138	0.0391490815448222	410	410	0.921883586052422	0.93694001106165
Pathway103	Region	AUS	-0.00616775077178046	0.0660536375731852	410	410	0.925651577193437	0.93694001106165
Pathway18	Region	AUS	0.00077417264684524	0.0321019578385256	410	410	0.98077182550692	0.986715897176659
Pathway62	Region	AUS	5.46585590194124e-05	0.0582641178529872	410	410	0.999251949549646	0.999251949549646
