term,estimate,std.error,statistic,p.value,metadata_var,arg_gene,fdr
b1_mg,-0.02947439995118535,0.05087483888491938,-0.5793512195263645,0.5626434098748753,b1_mg,oleC,0.5626434098748753
b2_mg,-0.005100842065597384,0.04115354456920126,-0.12394660336049845,0.9014131435845294,b2_mg,oleC,0.9014131435845294
b3_mg,-0.0076015831356931575,0.008728268986504887,-0.8709153152184308,0.3842668333254725,b3_mg,oleC,0.3842668333254725
b6_mg,-0.0030002052122963876,0.007638346210035378,-0.3927820407452429,0.6946672910563942,b6_mg,oleC,0.6946672910563942
b12_mcg,-3.048309334309673e-4,0.005054997572053535,-0.06030288424196675,0.9519412957205793,b12_mcg,oleC,0.9519412957205793
vitaminc_mg,-0.0014489557613380731,0.002585302945314237,-0.560458790318655,0.5754467038152568,vitaminc_mg,oleC,0.5754467038152568
vitaminetocoa_mg,-0.007517376396510098,0.023738967720406057,-0.31666820920979427,0.7516435384653579,vitaminetocoa_mg,oleC,0.7516435384653579
bcarotene_mcg,-3.995017913183584e-5,8.372679185373932e-5,-0.47714928814690544,0.6334890164702764,bcarotene_mcg,oleC,0.6334890164702764
folicacid_mcg_dfe,-4.3591655444333896e-5,0.0014099511595007366,-0.030917138619021164,0.975355843066325,folicacid_mcg_dfe,oleC,0.975355843066325
folate_mcg,-2.1338509235119618e-4,8.762147458981585e-4,-0.24353058807800262,0.8077058659864901,folate_mcg,oleC,0.8077058659864901
iron_mg,-0.002260161236146183,0.0037608215461620693,-0.6009754008276955,0.5481836739264777,iron_mg,oleC,0.5481836739264777
zinc_mg,-0.004910818139374469,0.009050969844995736,-0.5425736935903782,0.5877139020150084,zinc_mg,oleC,0.5877139020150084
selenium_mcg,1.93356655393439e-4,0.0012611516368630218,0.15331753116888686,0.8782223968886345,selenium_mcg,oleC,0.8782223968886345
magnesium_mg,3.5289442882638404e-4,4.547529392599994e-4,0.7760135193422488,0.43815230930370674,magnesium_mg,oleC,0.43815230930370674
caffeine_mg,-2.5587677915378597e-4,0.0012099109612334585,-0.211483974732264,0.8326504161718729,caffeine_mg,oleC,0.8326504161718729
vitd_iu,0.011790221377423646,0.009470869007259498,1.2448933005394063,0.2147628074125457,vitd_iu,oleC,0.2147628074125457
protein_g,-0.005777993843049488,0.008519087716026592,-0.6782409144795631,0.49796911936843624,protein_g,basS,0.49796911936843624
total_fat_g,-0.009384224736841354,0.017987521274496918,-0.5217074989729965,0.6021318253171628,total_fat_g,basS,0.6021318253171628
sfa_g,-0.02413630288680677,0.06656207821423556,-0.36261342095002025,0.7170646882211634,sfa_g,basS,0.7170646882211634
mufa_g,-0.00408094452267192,0.03996401170529768,-0.10211548712290425,0.9187106973803985,mufa_g,basS,0.9187106973803985
pufa_g,-0.030570564799183957,0.15808371572253374,-0.1933821245247105,0.8467473568888979,pufa_g,basS,0.8467473568888979
omega3fa_g,0.032014483855581324,0.009028946848308395,3.545760584644415,4.330782056569511e-4,omega3fa_g,basS,4.330782056569511e-4
omega6fa_g,-0.0319448419238813,0.14643595671815943,-0.21814889348088537,0.8274137824975661,omega6fa_g,basS,0.8274137824975661
cholesterol_mg,-1.6198202032993695e-4,0.0017004614402385814,-0.09525768505942142,0.924152744622821,cholesterol_mg,basS,0.924152744622821
alcohol_g,-0.4345884851497776,0.18162658761539455,-2.3927580804967024,0.017135055570223375,alcohol_g,basS,0.017135055570223375
fiber_g,-0.038276757022758214,0.05224494654910479,-0.732640371002812,0.4641617938810493,fiber_g,basS,0.4641617938810493
b1_mg,0.49059409241998475,0.39450631617538384,1.243564607979264,0.21431018521953607,b1_mg,basS,0.21431018521953607
b2_mg,0.24493586549613505,0.3193495529350731,0.766983586621563,0.4434952669913146,b2_mg,basS,0.4434952669913146
b3_mg,0.06523481255721289,0.06776153810997838,0.9627115082797476,0.3362116537451415,b3_mg,basS,0.3362116537451415
b6_mg,0.02756629607108232,0.059307003005143466,0.46480676268014426,0.6422956657417427,b6_mg,basS,0.6422956657417427
b12_mcg,0.0054062179929313964,0.03925094205418493,0.13773473221275173,0.8905119507080628,b12_mcg,basS,0.8905119507080628
vitaminc_mg,-0.011074136269995155,0.020074870674963396,-0.551641724088733,0.5814688878061043,vitaminc_mg,basS,0.5814688878061043
vitaminetocoa_mg,0.10077006476279383,0.18426665414006638,0.5468708662078143,0.5847409555441372,vitaminetocoa_mg,basS,0.5847409555441372
bcarotene_mcg,-8.770305227786746e-4,6.489356954802662e-4,-1.3514906467421235,0.17722185859391326,bcarotene_mcg,basS,0.17722185859391326
folicacid_mcg_dfe,9.3766358705926e-4,0.010587256988834724,0.08856529959064147,0.9294855104054354,folicacid_mcg_dfe,basS,0.9294855104054354
folate_mcg,1.8684619175542177e-4,0.006804175430824881,0.027460519449418446,0.9781046568052402,folate_mcg,basS,0.9781046568052402
iron_mg,0.010586353332193262,0.02988168080614271,0.3542756982404099,0.7233117842102132,iron_mg,basS,0.7233117842102132
zinc_mg,0.043825554321868104,0.0718876306539347,0.6096397102422704,0.5424333294926733,zinc_mg,basS,0.5424333294926733
selenium_mcg,-0.0037290896110922503,0.009970107078697235,-0.37402703718800173,0.7085752194011816,selenium_mcg,basS,0.7085752194011816
magnesium_mg,-0.003027051116363099,0.0035302380821796158,-0.8574637307447994,0.39164917094168217,magnesium_mg,basS,0.39164917094168217
caffeine_mg,-0.0015364504518521,0.009077557910840108,-0.1692581272345642,0.8657054439734688,caffeine_mg,basS,0.8657054439734688
vitd_iu,-0.09241172795718089,0.05251980487379033,-1.7595596209706859,0.08015349271337854,vitd_iu,basS,0.08015349271337854
protein_g,-0.005393709931039885,0.012578964971399176,-0.42878805555970434,0.6682835724658998,protein_g,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,0.6682835724658998
total_fat_g,-0.02422922545514451,0.02653490365598197,-0.913107722917333,0.36167701281772136,total_fat_g,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,0.36167701281772136
sfa_g,-0.12975226568931136,0.09807581996589604,-1.3229791577009522,0.1865171670828247,sfa_g,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,0.1865171670828247
mufa_g,0.4540764890784764,0.054952759912865023,8.263033372636345,1.6204675560109642e-15,mufa_g,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,1.6204675560109642e-15
pufa_g,0.3727506403838228,0.2326928731771139,1.6018996856001864,0.10988262190053838,pufa_g,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,0.10988262190053838
omega3fa_g,0.02267205499269113,0.013474166633252745,1.6826313351906321,0.0931495093825858,omega3fa_g,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,0.0931495093825858
omega6fa_g,-0.21107847852073225,0.21599818015678562,-0.9772234116394761,0.328993100588008,omega6fa_g,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,0.328993100588008
cholesterol_mg,-4.781406149068115e-4,0.002509988087479536,-0.19049517298185575,0.8490074156488981,cholesterol_mg,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,0.8490074156488981
alcohol_g,-0.6231234277210436,0.26824014556877,-2.3230058513418546,0.020627811267511138,alcohol_g,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,0.020627811267511138
fiber_g,-0.048543089465413906,0.07713716800184543,-0.6293086811827543,0.5294684757825024,fiber_g,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,0.5294684757825024
b1_mg,3.3988199220168007,0.5608008693506144,6.060653803822563,2.8788249240297723e-9,b1_mg,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,2.8788249240297723e-9
b2_mg,3.0875762237988442,0.4485812288529481,6.882981331372204,1.9861509968182645e-11,b2_mg,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,1.9861509968182645e-11
b3_mg,0.11484478243454913,0.09997961762216519,1.1486819530412804,0.2513000814777732,b3_mg,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,0.2513000814777732
b6_mg,0.9040822300379613,0.07644010903555574,11.827327844566938,2.814813149335118e-28,b6_mg,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,2.814813149335118e-28
b12_mcg,0.4548160500048047,0.0538078993791111,8.45258884388581,4.037942261671507e-16,b12_mcg,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,4.037942261671507e-16
vitaminc_mg,-0.019079750848078798,0.02962902531363268,-0.6439547250074396,0.5199343236464873,vitaminc_mg,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,0.5199343236464873
vitaminetocoa_mg,-0.08708357746413005,0.27210004941155164,-0.320042490445917,0.7490859952873403,vitaminetocoa_mg,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,0.7490859952873403
bcarotene_mcg,3.4099181801293984e-4,9.597839047022943e-4,0.35527978364953794,0.7225475798437904,bcarotene_mcg,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,0.7225475798437904
folicacid_mcg_dfe,0.05253030689119245,0.01612480658339868,3.2577325265578763,0.0012497462594158286,folicacid_mcg_dfe,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,0.0012497462594158286
folate_mcg,-0.005350402949386575,0.010040523023254474,-0.532880900426672,0.5943802486575003,folate_mcg,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,0.5943802486575003
iron_mg,-0.009625543944364988,0.044050894193556796,-0.21850961531157498,0.8271392217764889,iron_mg,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,0.8271392217764889
zinc_mg,-0.015980945554705396,0.10600963669119845,-0.15074993230339245,0.8802460523464832,zinc_mg,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,0.8802460523464832
selenium_mcg,-4.864166679877956e-4,0.01476680385761376,-0.03293987464572432,0.9737383711220682,selenium_mcg,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,0.9737383711220682
magnesium_mg,0.009520360525758154,0.005196546846936744,1.8320551716704352,0.06760987157092434,magnesium_mg,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,0.06760987157092434
caffeine_mg,-0.007417194088117632,0.011902140089336712,-0.623181548229532,0.5336294148789658,caffeine_mg,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,0.5336294148789658
vitd_iu,-0.12695864069631527,0.0834376719025807,-1.5215985513659627,0.12983572879349967,vitd_iu,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,0.12983572879349967
protein_g,-7.969983864481643e-4,0.003699535210010635,-0.21543203164861166,0.8295285403294058,protein_g,TaeA,0.8295285403294058
total_fat_g,-0.00701947834599146,0.007803061534569227,-0.8995800321314492,0.3688270571352157,total_fat_g,TaeA,0.3688270571352157
sfa_g,-0.019854615027417134,0.028881208532356126,-0.687457902087915,0.4921499563356687,sfa_g,TaeA,0.4921499563356687
mufa_g,-0.013136945475165921,0.017336031654391473,-0.7577827346570482,0.4489794672171473,mufa_g,TaeA,0.4489794672171473
pufa_g,-0.03090562592791972,0.06860576881767076,-0.4504814458104195,0.6525812563722913,pufa_g,TaeA,0.6525812563722913
omega3fa_g,-0.0015282167937632175,0.003973146638107535,-0.3846363935087803,0.7006909905094962,omega3fa_g,TaeA,0.7006909905094962
omega6fa_g,0.0034667986621841115,0.06356192088129571,0.0545420688065499,0.9565279363252693,omega6fa_g,TaeA,0.9565279363252693
cholesterol_mg,-6.894136309750021e-4,7.373974633896973e-4,-0.9349281292694971,0.350328994713593,cholesterol_mg,TaeA,0.350328994713593
alcohol_g,-0.038784513560241075,0.07890633637511514,-0.49152597043489943,0.6232962907808528,alcohol_g,TaeA,0.6232962907808528
fiber_g,0.024684198614151717,0.022660142774311682,1.0893222898019237,0.2765987024243511,fiber_g,TaeA,0.2765987024243511
b1_mg,-0.07401444759987952,0.1715006214295444,-0.43156955924084517,0.6662618947197287,b1_mg,TaeA,0.6662618947197287
b2_mg,-0.12457831186238837,0.1385841762400533,-0.8989360491387979,0.36916961931305536,b2_mg,TaeA,0.36916961931305536
b3_mg,-0.04458283502554005,0.029367809882069548,-1.5180851144354488,0.12969828151327467,b3_mg,TaeA,0.12969828151327467
b6_mg,-0.009629558024090573,0.025745218741308355,-0.37403286881536146,0.7085568176935289,b6_mg,TaeA,0.7085568176935289
b12_mcg,-0.009947054196425687,0.01703129693020899,-0.5840456095144615,0.5594835805533083,b12_mcg,TaeA,0.5594835805533083
vitaminc_mg,0.004532260056719181,0.008714106086511072,0.520106137304761,0.6032465095999406,vitaminc_mg,TaeA,0.6032465095999406
vitaminetocoa_mg,-0.03721277113301948,0.07957307380311938,-0.4676553179922614,0.6402595174875929,vitaminetocoa_mg,TaeA,0.6402595174875929
bcarotene_mcg,3.594885888735767e-4,2.817645005472655e-4,1.2758476961269045,0.2026719366035321,bcarotene_mcg,TaeA,0.2026719366035321
folicacid_mcg_dfe,-0.0018765019430888122,0.004831105991467992,-0.38842077702348515,0.6979756565902938,folicacid_mcg_dfe,TaeA,0.6979756565902938
folate_mcg,-0.0011881495395176583,0.00295291621636507,-0.40236479888353427,0.6876074813918465,folate_mcg,TaeA,0.6876074813918465
iron_mg,-0.0022132647092834475,0.012922367734783776,-0.1712739301889617,0.8640916563981278,iron_mg,TaeA,0.8640916563981278
zinc_mg,-0.01575848222296161,0.031088580213191556,-0.5068897361956384,0.6125007578545013,zinc_mg,TaeA,0.6125007578545013
selenium_mcg,-9.878276077949976e-4,0.004330930101848641,-0.22808671222224233,0.8196911673646108,selenium_mcg,TaeA,0.8196911673646108
magnesium_mg,0.0010057842008302695,0.001532927954502456,0.6561196812127534,0.5120854651269703,magnesium_mg,TaeA,0.5120854651269703
caffeine_mg,-0.0025327619535035657,0.004144672007773482,-0.6110886334921749,0.5415945685640737,caffeine_mg,TaeA,0.5415945685640737
vitd_iu,-0.00158365472570149,0.0348457185755618,-0.04544761280406334,0.9638000857520574,vitd_iu,TaeA,0.9638000857520574
protein_g,4.298073848978315e-4,0.002613103593130577,0.16448157127322657,0.8694262378114642,protein_g,vanR_gene_in_vanB_cluster,0.8694262378114642
total_fat_g,-0.0027402404523394095,0.005514896506745428,-0.49687975993524863,0.6195175815361507,total_fat_g,vanR_gene_in_vanB_cluster,0.6195175815361507
sfa_g,-8.745620391324852e-4,0.02041002338494122,-0.042849634350627365,0.9658404886659915,sfa_g,vanR_gene_in_vanB_cluster,0.9658404886659915
mufa_g,-0.0072518843045006045,0.01224779946315565,-0.5920969171903925,0.5540843829498452,mufa_g,vanR_gene_in_vanB_cluster,0.5540843829498452
pufa_g,-0.0054286657962554705,0.048467763021656944,-0.11200570147687174,0.9108690519438853,pufa_g,vanR_gene_in_vanB_cluster,0.9108690519438853
omega3fa_g,-0.001191355014715923,0.0028071092724329732,-0.424406355112551,0.6714750523792864,omega3fa_g,vanR_gene_in_vanB_cluster,0.6714750523792864
omega6fa_g,0.007504201982549831,0.04491092412667986,0.16709079424379675,0.8673750247594693,omega6fa_g,vanR_gene_in_vanB_cluster,0.8673750247594693
cholesterol_mg,-4.930015678908448e-4,5.208241513744045e-4,-0.9465796979457681,0.3443632637808376,cholesterol_mg,vanR_gene_in_vanB_cluster,0.3443632637808376
alcohol_g,-0.026910991046145204,0.05582687915647425,-0.4820436222257345,0.6300114222186373,alcohol_g,vanR_gene_in_vanB_cluster,0.6300114222186373
fiber_g,0.03396782615092904,0.015948192215792134,2.1298856755246276,0.0337266705612905,fiber_g,vanR_gene_in_vanB_cluster,0.0337266705612905
b1_mg,-0.028349279555536542,0.12115169610898502,-0.23399820610050925,0.8150932644679914,b1_mg,vanR_gene_in_vanB_cluster,0.8150932644679914
