term,estimate,std.error,statistic,p.value,metadata_var,arg_gene,fdr
hb,0.006964609678062692,0.05336690372313796,0.1305042862181845,0.8962825336708856,hb,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.8962825336708856
wbc,-0.3283389081928955,0.3994812464793411,-0.8219131963930011,0.41198874630504,wbc,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.41198874630504
factor(crp).52,14.479025280268456,23.864381580707622,0.6067211602069567,0.544410092113131,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp).6,-18.613648587564022,23.98991804080418,-0.7758946302319282,0.43830955169385366,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp).7,-10.961073299726502,24.012810033378308,-0.45646774719370126,0.6483229472807895,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp).72,-12.41392742754776,23.819142843761266,-0.5211743977932114,0.6025587639073385,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp).8,-9.71470859105722,11.198354807443364,-0.8675121263884238,0.38622679717538533,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp).9,-3.0221201953339043,17.058220271125258,-0.1771650352322803,0.8594762276981097,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.9024500390830152
factor(crp)<0.6,-12.66993640039307,5.998399366385492,-2.1122195483338926,0.035340897577740296,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)<1,-7.596809360546809,23.844596912070713,-0.31859667783694506,0.7502131145553125,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)<5,-5.090098765569801,5.775852950930057,-0.8812722222698152,0.37874570885064673,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)0,-4.058703099847709,4.741948913075923,-0.8559145562820882,0.392601992542452,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)1,-6.0623751495021505,10.826166086575027,-0.5599743344986912,0.5758376417085769,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)1.1,-18.441482642185722,14.020095107639944,-1.315360737612717,0.18920764406955565,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)1.2,-20.194695102769444,23.900369912590314,-0.8449532445157352,0.39868594266110746,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)1.3,-18.265351045606735,23.93025960463534,-0.7632742539102543,0.44578888137346484,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)1.4,-19.763500598622496,23.901280218714692,-0.8268804188634081,0.4088406667932518,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)1.5,-19.52696893493535,23.909282131990377,-0.8167107998950944,0.4146220985852913,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)1.6,24.84707565290002,23.94174476484636,1.0378139060851972,0.3000381262422213,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)1.7,-18.518434329639568,16.993342603779627,-1.0897464237271797,0.27653793071916266,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)1.8,-20.19650760593946,23.900403375900872,-0.8450278971569114,0.39864431572829206,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)10,-20.186085712711847,17.05645429963559,-1.1834866355044917,0.23738028131767183,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)10.25,-10.350458135803859,23.83177645194273,-0.4343133276982424,0.6643154623899348,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)10.8,-14.201961804769121,23.902044126433285,-0.5941735246427381,0.5527611438263059,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)11,-9.769592068215863,13.795664131906495,-0.7081639546167866,0.4792917444453255,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)11.4,-19.954900933376248,23.89869538886325,-0.8349786717929045,0.404271453305596,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)113.2,-18.60422357107993,23.99116040999903,-0.7754615972358747,0.43856497796372873,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)12,-8.648698909475293,23.914033439717453,-0.36165789143336907,0.7178152598560211,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)12.31,-9.75903835142745,23.829121977904975,-0.40954250687357685,0.6823798555679846,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)13,-9.02897293635936,16.948197752589813,-0.5327394138400152,0.594535515459898,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)13.5,-19.024543056206753,23.943885230247517,-0.7945470366761397,0.42738913611813056,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)14,-6.465082381188461,23.931150449474263,-0.2701534301427824,0.7871936550543627,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.8521168431000833
factor(crp)14.3,7.750160632277148,23.836440719989394,0.3251391733908416,0.745260510824466,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)15,-13.913592550419473,23.86812705183293,-0.5829360854416514,0.5602933615468065,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)16,-5.422252586062871,12.095605733507226,-0.44828284796371604,0.6542128927713562,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)19,-8.562967509533522,23.925444537984394,-0.3579021278346083,0.7206217513348553,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)2,-13.185147526389832,23.817575704473363,-0.5535889836140387,0.5801963506069449,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)2.1,-17.236520462094425,17.04210096698005,-1.0114081881976331,0.3124856353524315,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)2.2,-18.17420719399348,17.275040293969255,-1.052050060938968,0.29346689952926613,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)2.3,-7.896053633916532,23.842062615435232,-0.3311816498965432,0.7406957832295782,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)2.6,-15.781496701416051,23.969053579485458,-0.6584113406514748,0.5106855493201474,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)2.7,-2.864492171138127,24.002844196615655,-0.11933969773223849,0.905071354309724,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.9362667397607116
factor(crp)2.8,18.049721571496452,23.93619891663172,0.7540763524886511,0.45128560635109993,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)2.9,5.5828877420539795,23.880659006577908,0.23378281732158973,0.8152835866304966,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.8646947130929509
factor(crp)20,-10.52652089692559,16.97493964826003,-0.6201212561014662,0.5355617611674244,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)23,-13.584623225061486,23.839051854387197,-0.56984746323128,0.5691288630593692,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)23.2,-8.719930284056957,23.90507932758302,-0.36477311639771104,0.7154903060431472,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)24,0.042153320790035836,23.941863159859363,0.0017606533171031394,0.9985961566498911,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.9985961566498911
factor(crp)24.7,-21.46670982748707,24.000413359676955,-0.8944308377435384,0.3716760233352431,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
factor(crp)24.8,-19.98933849360655,23.898599842625458,-0.8364229965453305,0.40345976901969627,crp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.821129609892523
