feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Pathway45	Group	CD	-0.160600325724344	0.0417683995144928	410	410	0.000139796471519617	0.000332734171165242
Pathway64	Group	CD	0.842437748649542	0.219013796145819	410	403	0.000138981615217119	0.000332734171165242
Pathway104	Group	CD	0.56691788628626	0.147477840390954	410	408	0.000140309590250403	0.000332734171165242
Pathway29	Group	CD	0.24079829604457	0.0629134784771053	410	409	0.000149782038323749	0.000350194624813273
Pathway34	Group	CD	0.83847059040814	0.219776465226671	410	403	0.000157198133602636	0.000362429030250521
Pathway56	Group	CD	-0.121291249095705	0.0318362034111141	410	410	0.000160458124587875	0.000364877379199824
Pathway118	Group	CD	0.255043721646344	0.0678209346711152	410	410	0.000194326547121726	0.000435921713813601
Pathway6	Group	CD	0.526308450102751	0.140298190964337	410	408	0.000201341936937634	0.000445636820421962
Pathway102	Group	CD	-0.491329684540157	0.131406018599477	410	408	0.000211135409306748	0.000461164183485791
Pathway134	Group	CD	-0.144811594208034	0.0389125568531818	410	410	0.000225850895536513	0.000486899333234561
Pathway133	Group	CD	-0.14408257078041	0.0388294706421474	410	410	0.000235387662764303	0.000500953231011209
Pathway79	Group	CD	0.265351423246535	0.0718748154922504	410	410	0.000252874135728477	0.000531355778872496
Pathway112	Group	CD	0.37787159038232	0.103152281899075	410	410	0.000281861647881735	0.000584862919354599
Pathway69	Group	CD	-0.141046105041416	0.0385630285406479	410	410	0.000287989398196791	0.000590200495069967
Pathway13	Group	CD	-0.101558456443556	0.0278938786467215	410	409	0.000306650313984926	0.000620779903920703
Pathway145	Group	CD	0.441591517275563	0.121739443528008	410	410	0.00032264370706232	0.00064528741412464
Pathway31	Group	CD	-0.239661134526863	0.0661907599041466	410	410	0.00033070412446442	0.00064584570189522
Pathway57	Group	CD	0.307422139211313	0.0848543372280575	410	410	0.000328020767273328	0.00064584570189522
Pathway73	Group	CD	0.348533935908375	0.0963581773394876	410	410	0.000335312611304971	0.000647231319495641
Pathway15	Group	CD	-0.140213133853631	0.0388347887298831	410	410	0.000343641235271582	0.000655683276495203
Pathway80	Group	CD	0.229664773077765	0.0643032126292712	410	410	0.000397147851350718	0.000749165265047945
Pathway119	Group	CD	0.189333548373721	0.0535237275002656	410	410	0.000450556086337794	0.000840363037439032
Pathway110	Group	CD	0.48350156247795	0.138065414943365	410	409	0.000512847955952222	0.000935524842726031
Pathway162	Group	CD	-0.329291472313565	0.0940290200388268	410	409	0.000512763682995101	0.000935524842726031
Pathway111	Group	CD	0.287906946095719	0.0832484586240715	410	410	0.000600570980271098	0.00108363894266307
Pathway108	Group	CD	0.28941474888443	0.085293739691379	410	410	0.000758488539624399	0.00135386126427581
Pathway116	Group	CD	-0.107183383571325	0.0327068621783575	410	410	0.00113856842129682	0.00201066338229013
Pathway72	Group	CD	0.645335714491743	0.200192153048708	410	394	0.0013677284963442	0.00238992558308565
Pathway4	Group	CD	0.190035191362513	0.0590697915040689	410	409	0.00139807261212817	0.00241750055847162
Pathway51	Group	CD	-0.562643133690194	0.176971756788921	410	405	0.00158899494588915	0.00271931093832576
Pathway39	Group	CD	-0.136757240907959	0.0431231633035775	410	410	0.00163212388899002	0.00276461801604432
Pathway97	Group	CD	-0.116693775477559	0.0370072062715051	410	410	0.00173387324163182	0.00290730260718063
Pathway154	Group	CD	0.268837530532783	0.086069102048222	410	410	0.00191456361992114	0.00317817560906909
Pathway54	Group	CD	-0.0879836724807277	0.0283368931556733	410	410	0.00203607847529774	0.00331361791077868
Pathway141	Group	CD	0.16106666366879	0.0518298130677919	410	410	0.00201806479700072	0.00331361791077868
Pathway89	Group	CD	0.288136927523262	0.0979030725941579	410	409	0.00343516239461092	0.00553628114082925
Pathway136	Group	CD	-0.108478691257999	0.0382716183709413	410	410	0.00481869309138326	0.00769137551124636
Pathway95	Group	CD	0.289080014462886	0.105713262281767	410	409	0.00651842112571146	0.0103053133987438
Pathway10	Group	CD	0.151482669446198	0.0564839236791703	410	410	0.00761836988284645	0.0119306547221935
Pathway114	Group	CD	0.180596157607065	0.0681077912229161	410	410	0.00832272792615982	0.0129118956611451
Pathway22	Group	CD	0.266259047013499	0.102673885099594	410	410	0.00984921850588933	0.0150355884523703
Pathway120	Group	CD	0.280327451683038	0.108133717638785	410	410	0.00987276591149617	0.0150355884523703
Pathway75	Group	CD	-0.0645176196319083	0.0258783425663287	410	410	0.01305829964276	0.0197061612790742
Pathway61	Group	CD	0.306523046366899	0.124373636549993	410	410	0.014130350715776	0.021050829304718
Pathway148	Group	CD	0.31585083987516	0.12825553194569	410	409	0.0142029691694483	0.021050829304718
Pathway125	Group	CD	-0.133395292290963	0.0545505825819316	410	410	0.0148930104764762	0.0218782277796022
Pathway84	Group	CD	0.217002951056801	0.0889303505036843	410	410	0.0151061403624382	0.0219716411162946
Pathway142	Group	CD	0.216814773535332	0.0889547998799948	410	410	0.0152213176408065	0.0219716411162946
Pathway113	Group	CD	-0.10558639244037	0.0437985145831678	410	410	0.0163619068242838	0.0234144528692337
Pathway12	Group	CD	-0.0660349501228083	0.0274502769354818	410	410	0.0165891794165218	0.0235367844713044
Pathway33	Group	CD	-0.376199780897246	0.157736337056492	410	410	0.0175353309996382	0.024668346999491
Pathway109	Group	CD	0.0819167068430122	0.0346582937075759	410	410	0.018568590041355	0.0259024029148313
Pathway41	Group	CD	-0.276951961021096	0.118674763101536	410	408	0.0200960162922611	0.0277994892042946
