feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Pathway94	Region	HK	0.1790187802603	0.0650282025246939	410	410	0.00616999751924943	0.0136562611759387
Pathway162	Region	HK	0.321672894275947	0.116575328666211	410	409	0.00605235307460786	0.0136562611759387
Pathway156	Region	HK	0.264036192304411	0.0961247758967228	410	409	0.00628439710030683	0.0137264462980386
Pathway78	Region	HK	0.134664765227195	0.0491301728104633	410	410	0.00639486513339173	0.0137863326252341
Pathway77	Region	HK	0.122264965540692	0.045245519932486	410	410	0.00717447919242406	0.0152687634095179
Pathway155	Region	HK	0.101179737656884	0.0377962114209024	410	410	0.00772849924827607	0.0162396313318206
Pathway75	Region	HK	0.083189690484131	0.031882672969533	410	410	0.00940782240530147	0.0195212314910005
Pathway113	Region	HK	-0.138920194289597	0.0539458742551021	410	410	0.010370170145153	0.0211720705216877
Pathway136	Region	HK	0.121576759046048	0.0472657798998988	410	410	0.0104584926673397	0.0211720705216877
Pathway165	Region	HK	0.159008820842134	0.0634543470105299	410	410	0.0126032386502672	0.0252064773005344
Pathway108	Region	HK	0.263326406267802	0.105832374682012	410	410	0.0132392534843394	0.0261632866476231
Pathway143	Region	HK	0.457336904013175	0.191566152526704	410	408	0.0174244415921973	0.0340289094624089
Pathway3	Region	HK	0.237023694866639	0.101068729290046	410	409	0.019496599752927	0.0376329716161149
Pathway16	Region	HK	0.273298717958359	0.117672137856454	410	408	0.0206948695103356	0.0394867625139738
Pathway61	Region	HK	-0.350188567898496	0.153501790989625	410	410	0.0230433470510606	0.043468131937228
Pathway41	Region	HK	0.328242240468596	0.146388486982967	410	408	0.0254805654151659	0.0471012889280813
Pathway45	Region	HK	0.116780049363543	0.0521012673242989	410	410	0.0255368433947429	0.0471012889280813
Pathway137	Region	HK	0.257770393655964	0.115632539071751	410	409	0.0263430606219359	0.0480543743213335
Pathway49	Region	HK	0.279067053195394	0.125793433942237	410	409	0.0270736267055374	0.0483249680980561
Pathway102	Region	HK	0.363949211797564	0.163774910311412	410	408	0.0268139252951304	0.0483249680980561
Pathway81	Region	HK	-0.368381438652208	0.16718843217946	410	409	0.0281253493691062	0.0496681701624641
Pathway33	Region	HK	0.426465742091112	0.194682938801846	410	410	0.0290484253600107	0.0507583011553871
Pathway139	Region	HK	0.0958223249639594	0.0453346359235625	410	410	0.0351501067609006	0.0607803929407239
Pathway149	Region	HK	0.1833718306437	0.0893540505303585	410	410	0.0407883960358211	0.0698028220819207
Pathway20	Region	HK	0.120849986631992	0.0602916265701455	410	410	0.0456850313255682	0.0773848489800441
Pathway51	Region	HK	0.413678949556027	0.219923538075216	410	405	0.0606821057865622	0.101749793541104
Pathway57	Region	HK	0.197572855673171	0.105835566534265	410	410	0.0626478520984705	0.103995434483461
Pathway73	Region	HK	-0.221539924268019	0.120190560017555	410	410	0.0660192533219884	0.108506891598516
Pathway164	Region	HK	0.0644473858732052	0.0353596467349463	410	410	0.0690919362861199	0.112443739446038
Pathway22	Region	HK	-0.230773075199124	0.127113451730888	410	410	0.0701827670959004	0.113110090659412
Pathway97	Region	HK	0.0791253259035481	0.0460124412955755	410	410	0.0862543315003499	0.137675182971712
Pathway25	Region	HK	0.222830805554171	0.137876823244736	410	382	0.106832965909471	0.168897831818783
Pathway28	Region	HK	0.231400227486214	0.144785139861735	410	409	0.11076549639238	0.17346294718052
Pathway2	Region	HK	0.0154638736533906	0.00979479066388941	410	410	0.115160213053946	0.178659769784626
Pathway38	Region	HK	0.0809276971686495	0.0520060979609391	410	410	0.120455024873947	0.185143834528475
Pathway74	Region	HK	0.250891478462121	0.163655385388228	410	410	0.126039170858247	0.191949562958432
Pathway11	Region	HK	0.309224432184959	0.210296578737196	410	406	0.1422186095209	0.210939364626494
Pathway93	Region	HK	0.309021287353779	0.210212265890196	410	406	0.142320535169683	0.210939364626494
Pathway151	Region	HK	0.275506123419933	0.186395020638803	410	410	0.140158810189812	0.210939364626494
Pathway131	Region	HK	0.274775864120133	0.187823600559256	410	410	0.144251941243845	0.211909931384763
Pathway21	Region	HK	0.260384488406312	0.185928790343576	410	410	0.162137800163471	0.234042389801184
Pathway87	Region	HK	0.263257019605311	0.187363766325545	410	410	0.160764854146144	0.234042389801184
Pathway125	Region	HK	0.0933442450350948	0.0675888060658723	410	410	0.168016242568691	0.240437036779333
Pathway23	Region	HK	0.128113819780103	0.103143282258549	410	410	0.214914770274914	0.302397183461196
Pathway158	Region	HK	0.099827087547493	0.0803773096377567	410	409	0.214957034026633	0.302397183461196
Pathway100	Region	HK	0.069826344131146	0.0577890775745872	410	410	0.227633062509051	0.312289986582666
Pathway152	Region	HK	0.170234201180777	0.140331563882972	410	409	0.225798949406244	0.312289986582666
Pathway153	Region	HK	0.17056501407071	0.140305104121677	410	409	0.224812752059647	0.312289986582666
