feature	k149_101865_34	k149_103437_27	k149_106777_66	k149_107332_92	k149_110324_8	k149_110541_22	k149_112649_18	k149_115884_6	k149_116128_96	k149_117874_31	k149_118281_20	k149_122792_191	k149_130261_154	k149_130261_183	k149_130672_15	k149_131241_136	k149_134666_10	k149_137462_21	k149_145357_32	k149_148463_138	k149_148463_24	k149_154020_42	k149_1590_94	k149_163091_142	k149_163091_90	k149_163091_92	k149_16561_10	k149_168025_95	k149_168967_172	k149_17078_68	k149_191853_13	k149_198842_65	k149_211711_7	k149_212974_29	k149_218693_8	k149_25741_10	k149_277096_39	k149_28321_45	k149_29044_31	k149_305790_18	k149_34831_79	k149_43075_294	k149_43898_21	k149_43954_24	k149_44733_4	k149_45431_17	k149_45854_12	k149_49060_101	k149_49060_107	k149_49100_7	k149_49232_21	k149_49857_4	k149_54842_45	k149_59941_16	k149_63122_44	k149_6815_10	k149_69830_8	k149_7326_19	k149_74925_127	k149_78077_21	k149_78367_20	k149_78367_238	k149_78367_35	k149_85850_31	k149_85897_43	k149_91219_23	k149_99651_133	k149_99651_276
KM4009	16	52.302	0	6	7.293	5	3.459	0	5.077	0	0	6.848	10	3.751	0	3	0	12.023	7.319	2.157	4.118	2	1.364	1	6	21	1.691	5.364	0	6	0	0	0	5.98	0	21.711	0	0	5	0	1	9.224	3.307	8.141	0	3	4.248	6	6.006	1.182	12.594	25.28	2.681	0	4	0	0	3.165	0	0	5.193	2.354	1.083	0	6	1.955	0	6
KM4010	5.366	11.99	0	2.394	4.966	14.39	10.137	0	4.039	1.672	0	13.793	0	6.488	0	4.153	0	4.145	3.35	1.304	0	5.646	2.66	1.196	9	18	12	17	0	4.831	0	0	0	11.989	0	0	0	0	4.104	0	4.956	6.343	1	5	0	5.53	11	5.593	1.16	1	0	0	12.789	0	0	0	0	0	2.835	0	8.804	3.196	4.365	0	4	0	2.884	4.31
KM4011	0	26.727	0	1	1.464	6.416	5	0	2.271	5	0	6	0	0	0	1.148	0	4.133	3.596	4	2.142	10	0	2.492	0	0	2	0	1.528	5	0	0	3.516	7.637	4	24.607	0	0	5	2.658	1	2.273	1	0	0	8	9.154	2.672	6	0	5.369	0	10.348	0	0	0	0	1	6.858	0	2.311	0	3.527	0	0	0	1.448	1
KM4012	28.306	44.936	0	17.4	46.197	0	0	0	21.537	0	8.638	14.924	10.307	8.895	2.471	13.172	0	2.083	12.362	9	0.972	23.138	0.319	35	2	10	11.382	4	0	0	0	0	0	0	0	0	0	0	5.73	71.294	11.465	19.441	2.1	1.254	0	0	0	51.848	14.081	4.52	319.001	0	0	0	26	0	0	0	100	0	38.609	0	19.013	0	0	16.05	8.538	26.312
KM4013	0	9.673	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.202	1	3	0	0	0	0	0	0	0	0	0	0	1.918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KM4014	14.939	0	0	1.442	4.442	1	3	0	42.976	0	0	6.877	3.806	11.478	0	4.543	0	0	7.998	14.834	0	7.35	0	24.274	0	1	6.943	0	0	4.321	0	98.274	0	0	0	13	0	0	18.302	34.181	16.126	11.318	1.321	0	2	0	4.347	30.254	7.47	11.464	81.122	0	0	2	0	1	1	5.564	89.486	0	29.73	0	1.827	0	5.125	5.961	13.303	7.11
KM4015	0	12.754	4.314	0	1	27.223	12.034	1.219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.724	0	0	0	20.502	1	4.336	0	1	0	0	0	0	0	0	0	16.615	27.932	0	0	0	2.018	1.482	8.59	0	0	23.385	0	0	0	0	0	0	0	0	0	0	0	0
KM4016	10.412	0	0	12.584	21.082	0	4	0	8.764	0	3.319	10.965	2.712	7.583	4	9.03	0	17.521	12.013	14	4.117	4	5.253	8.293	16.502	87.607	7.539	0	0	2	0	0	0	0	0	0	0	0	1.337	26.215	7.046	10.593	1.077	19	0	5	2.481	25.487	8.228	6.862	51.504	0	0	0	0	0	0	2.541	25.28	0	17.554	0	13.034	0	12.1	7.521	2.803	12.133
KM4017	0	8.891	0	0	0	57.077	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.92	0	0	0	17.995	0	2	0	0	0	0	0	0	0	0	0	10.081	78.727	0	0	0	1.674	0	177.722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KM4018	3.324	8.051	12.216	2.9	1.406	3.296	0	0	1.202	0	1.924	6.943	1.136	2.094	0	3.335	0	1.322	9.963	8	0	0	0.576	7.48	0	2	4.434	0	1.183	6	0	0	0	3.217	1	4	0	0	5.417	30.434	1.074	7.913	0	0	0	2	6.464	16.994	3.988	3.644	52.52	2.106	8.882	0	1	17.084	0	5.679	43.108	0	6.986	3.587	1.344	0	3.997	0	3.64	3.954
