"","clade_name"
"336","KM1013"
"337","KM1014"
"338","KM1015"
"339","KM1016"
"340","KM1017"
"341","KM1018"
"342","KM1019"
"343","KM1020"
"344","KM1021"
"345","KM1022"
"346","KM1023"
"347","KM1024"
"348","KM1031"
"349","KM1032"
"350","KM1033"
"351","KM1034"
"352","KM1035"
"353","KM1036"
"354","KM1037"
"355","KM1038"
"356","KM1039"
"357","KM1040"
"358","KM1041"
"359","KM1042"
"360","KM1043"
"361","KM1044"
"362","KM1045"
"363","KM1046"
"364","KM1047"
"365","KM1048"
"366","KM1049"
"367","KM1050"
"368","KM1051"
"369","KM1052"
"370","KM1053"
"371","KM1054"
"372","KM1055"
"373","KM1056"
"374","KM1057"
"375","KM1058"
"376","KM1059"
"377","KM1060"
"378","KM1061"
"379","KM2001"
"380","KM2002"
"381","KM2003"
"382","KM2005"
"383","KM2006"
"384","KM2007"
"385","KM2014"
"386","KM2015"
"387","KM2016"
"388","KM2017"
"389","KM2018"
"390","KM2020"
"391","KM2037"
"392","KM2038"
"393","KM2039"
"394","KM2041"
"395","KM2043"
"396","KM2044"
"397","KM2045"
"398","KM2046"
"399","KM2051"
"400","KM2052"
"401","KM2055"
"402","KM2056"
"403","KM2060"
"404","KM3008"
"405","KM3009"
"406","KM3010"
"407","KM3011"
"408","KM3012"
"409","KM3013"
"410","KM3019"
"411","KM3021"
"412","KM3022"
"413","KM3023"
"414","KM3024"
"415","KM3031"
"416","KM3032"
"417","KM3033"
"418","KM3034"
"419","KM3035"
"420","KM3036"
"421","KM3040"
"422","KM3042"
"423","KM3047"
"424","KM3048"
"425","KM3049"
"426","KM3050"
"427","KM3052"
"428","KM3054"
"429","KM3057"
"430","KM3058"
"431","KM3059"
"432","KM3061"
"433","KM4001"
"434","KM4002"
"435","KM4003"
"436","KM4004"
"437","KM4005"
"438","KM4006"
"439","KM4007"
"440","KM4008"
"441","KM4009"
"442","KM4010"
"443","KM4011"
"444","KM4012"
"445","KM4013"
"446","KM4014"
"447","KM4015"
"448","KM4016"
"449","KM4017"
"450","KM4018"
"451","KM4020"
"452","KM4021"
"453","KM4022"
"454","KM4023"
"455","KM4024"
"456","KM4026"
"457","KM4031"
"458","KM4032"
"459","KM4033"
"460","KM4034"
"461","KM4035"
"462","KM4036"
"463","KM4037"
"464","KM4038"
"465","KM4039"
"466","KM4040"
"467","KM4041"
"468","KM4042"
"469","KM4043"
"470","KM4044"
"471","KM4045"
"472","KM4046"
"473","KM4047"
"474","KM4048"
"475","KM4049"
"476","KM4050"
"477","KM4051"
"478","KM4052"
"479","KM4053"
