term,estimate,std.error,statistic,p.value,metadata_var,vfg_gene,fdr
so32,2.678041765447541e-5,1.4003388041039272e-5,1.9124241630661747,0.056433264275390964,so32,dhbE,0.056433264275390964
tio2,-2.2582640541762865e-6,6.967582432762664e-6,-0.32411013087661156,0.745999767952712,tio2,dhbE,0.745999767952712
asp,7.1324390158732065e-6,5.197135729520823e-6,1.372378823081232,0.17060430934718637,asp,dhbE,0.17060430934718637
suc,1.1277658343443529e-5,8.168871194121588e-6,1.3805650836506103,0.16807312426727464,suc,dhbE,0.16807312426727464
sac,6.918008892496392e-6,1.0901506690141383e-5,0.6345919962377853,0.5260053011390708,sac,dhbE,0.5260053011390708
totalad,-6.320055058001964e-9,4.004446496350921e-8,-0.15782593334087888,0.8746621809665638,totalad,dhbE,0.8746621809665638
totalas,3.3898909178407936e-6,2.626950712462378e-6,1.290428062376272,0.19754061281716512,totalas,dhbE,0.19754061281716512
totalem,-7.274243665516145e-9,4.0150895191210504e-8,-0.18117263963540622,0.8563106718773982,totalem,dhbE,0.8563106718773982
p80mgkgday,-0.0026260513799891486,0.0063527806461137724,-0.4133703847614509,0.6795254226576684,p80mgkgday,dhbE,0.6795254226576684
cmcmgkgday,-5.230005143349056e-4,0.0021241929119770048,-0.24621140169804281,0.8056270016953009,cmcmgkgday,dhbE,0.8056270016953009
crnmgkgday,4.500616903349523e-6,0.004570184338110028,9.847779805771959e-4,0.9992146824011845,crnmgkgday,dhbE,0.9992146824011845
alsiomgkgday,-0.5404049627003583,1.2430846637466662,-0.43472900797567066,0.6639603807637317,alsiomgkgday,dhbE,0.6639603807637317
so32mgkgday,0.622177859980038,0.3665083795114947,1.6975815418171767,0.09025441508307272,so32mgkgday,dhbE,0.09025441508307272
tio2mgkgday,-0.041900281039315014,0.11662350875863096,-0.35927817200247025,0.7195497407067548,tio2mgkgday,dhbE,0.7195497407067548
aspmgkgday,0.16420162481689646,0.13262408051460006,1.23809812049042,0.21630306050743495,aspmgkgday,dhbE,0.21630306050743495
sucmgkgday,0.2663241380477835,0.20924401633504794,1.272792133856469,0.20372645186703517,sucmgkgday,dhbE,0.20372645186703517
sacmgkgday,0.16184615703682276,0.2809482893974921,0.5760709822576605,0.5648453103530573,sacmgkgday,dhbE,0.5648453103530573
totaladmgkgday,-2.271168949201403e-4,0.0011835076976225041,-0.19190149365009226,0.8479029588713501,totaladmgkgday,dhbE,0.8479029588713501
totalasmgkgday,0.07975089582242659,0.06756960771171334,1.180277620712035,0.2384919348975281,totalasmgkgday,dhbE,0.2384919348975281
totalemmgkgday,-2.5472512124040825e-4,0.0011871557868943458,-0.21456756059521126,0.8301983493752929,totalemmgkgday,dhbE,0.8301983493752929
p80,1.0321489723257878e-7,3.0981571730676355e-7,0.33314932544361753,0.7391710822328461,p80,fbpC,0.7391710822328461
cmc,2.7902546014493468e-8,1.035651269019132e-7,0.26942028508225596,0.7877252761912412,cmc,fbpC,0.7877252761912412
crn,6.430842922260839e-8,2.2291373210432102e-7,0.28849020926406094,0.7730995260353251,crn,fbpC,0.7730995260353251
alsio,4.7566144444546125e-5,7.606999923983983e-5,0.6252943988414621,0.5320832818309684,alsio,fbpC,0.5320832818309684
so32,-4.68580088808153e-6,2.023817853038315e-5,-0.23153273803997906,0.817002367741484,so32,fbpC,0.817002367741484
tio2,1.7176055587149452e-7,1.0032289442599544e-5,0.017120773563625204,0.9863475783900567,tio2,fbpC,0.9863475783900567
asp,-2.582926774119311e-6,7.496388707329119e-6,-0.34455614229209036,0.7305831910704597,asp,fbpC,0.7305831910704597
suc,-5.340952238880563e-6,1.1782031758640002e-5,-0.4533133459739603,0.6505336791091603,suc,fbpC,0.6505336791091603
sac,2.13157092973736e-6,1.5701254821240366e-5,0.13575799858071283,0.8920710936811931,sac,fbpC,0.8920710936811931
totalad,1.626305463309116e-8,5.764827404790109e-8,0.2821082660614933,0.7779854722363445,totalad,fbpC,0.7779854722363445
totalas,-1.0875450326405977e-6,3.7883993912353575e-6,-0.28707243358677675,0.7741841880403372,totalas,fbpC,0.7741841880403372
totalem,1.6608144853103386e-8,5.780179751268735e-8,0.2873292106436299,0.7739877092046282,totalem,fbpC,0.7739877092046282
p80mgkgday,0.002601880486164702,0.009147925793370908,0.28442299871410937,0.7762125793755128,p80mgkgday,fbpC,0.7762125793755128
cmcmgkgday,6.247917722267939e-4,0.0030585783749560364,0.20427522058700703,0.8382276159397377,cmcmgkgday,fbpC,0.8382276159397377
crnmgkgday,0.0016322228475895706,0.006579939529143131,0.2480604632246713,0.8041968955785914,crnmgkgday,fbpC,0.8041968955785914
alsiomgkgday,0.9217160023567947,1.7897074790789125,0.5150093035489595,0.6067907149721569,alsiomgkgday,fbpC,0.6067907149721569
so32mgkgday,-0.23603518634348702,0.5292328785310136,-0.4459949408257618,0.6558080481763973,so32mgkgday,fbpC,0.6558080481763973
tio2mgkgday,-0.0213209601323007,0.1679405573312159,-0.12695539702331138,0.8990304618214991,tio2mgkgday,fbpC,0.8990304618214991
aspmgkgday,-0.09196870614174012,0.19122497277103503,-0.48094506072624565,0.6307812743946752,aspmgkgday,fbpC,0.6307812743946752
sucmgkgday,-0.17764452842780723,0.30169073888773534,-0.5888299027101127,0.5562606927695157,sucmgkgday,fbpC,0.5562606927695157
sacmgkgday,0.09359643422326051,0.40464381169166064,0.23130573486832706,0.8171788175675809,sacmgkgday,fbpC,0.8171788175675809
totaladmgkgday,3.7857454040953717e-4,0.001704049102821322,0.22216175565759655,0.8242852949520413,totaladmgkgday,fbpC,0.8242852949520413
totalasmgkgday,-0.03695475605971738,0.09742028178436897,-0.3793332905925422,0.7046131733210235,totalasmgkgday,fbpC,0.7046131733210235
totalemmgkgday,3.9612388242887375e-4,0.0017093106474343203,0.23174481655716397,0.8168379480738589,totalemmgkgday,fbpC,0.8168379480738589
p80,-1.52114962001698e-6,2.2371737677782803e-6,-0.6799425426517591,0.4968777526293189,p80,iroN,0.4968777526293189
cmc,-4.655662946057879e-7,7.478710204642668e-7,-0.6225221754371115,0.5339024084256225,cmc,iroN,0.5339024084256225
crn,-1.0355514929896037e-6,1.60969168188026e-6,-0.6433228826653248,0.5203303764536117,crn,iroN,0.5203303764536117
alsio,5.9703933204320305e-5,5.49729689412741e-4,0.10860598282057524,0.9135616629799752,alsio,iroN,0.9135616629799752
