term,estimate,std.error,statistic,p.value,metadata_var,vfg_gene,fdr
hb,-0.01640898903763579,0.010174737487093211,-1.6127186631056387,0.10818890556047453,hb,kpsF.1,0.10818890556047453
wbc,0.140940869347011,0.0760977878013651,1.8521020573541915,0.06530954270767851,wbc,kpsF.1,0.06530954270767851
factor(crp).52,-0.06525514438808624,1.84280558408733,-0.03541075898161258,0.9717714052261444,crp,kpsF.1,0.9961495305359053
factor(crp).6,0.2571663637333548,1.8524994992172956,0.13882128650615605,0.889667307897875,crp,kpsF.1,0.9961495305359053
factor(crp).7,0.295884074401947,1.854267217002222,0.15956927442221636,0.8733079272628399,crp,kpsF.1,0.9961495305359053
factor(crp).72,-0.2956083123634414,1.8393122525388101,-0.16071676353779082,0.8724046736107903,crp,kpsF.1,0.9961495305359053
factor(crp).8,2.948307968452883,0.8647360377622625,3.409488953510512,7.229530028307157e-4,crp,kpsF.1,0.008434451699691684
factor(crp).9,0.5302608993308323,1.3172343672058067,0.40255622881723946,0.6875084518854082,crp,kpsF.1,0.9961495305359053
factor(crp)<0.6,0.8050790175356187,0.4631959060232777,1.7380961426182377,0.08303033889181448,crp,kpsF.1,0.435909279182026
factor(crp)<1,7.477448886543709,1.8412778136014234,4.061010691221163,5.9732033765242606e-5,crp,kpsF.1,0.0010453105908917455
factor(crp)<5,2.0650922953898068,0.44601089011440387,4.63013872791335,5.074884348250266e-6,crp,kpsF.1,1.0657257131325558e-4
factor(crp)0,1.0448958661989933,0.3661729052948726,2.8535586633794137,0.004567729564203889,crp,kpsF.1,0.03996763368678403
factor(crp)1,2.560381024526588,0.8359956553295175,3.0626726445335217,0.002355129037258707,crp,kpsF.1,0.02248077717383311
factor(crp)1.1,1.0945169140147517,1.0826305918055243,1.0109791117110447,0.3126906804217329,crp,kpsF.1,0.9961495305359053
factor(crp)1.2,-0.11478803071844518,1.845584600117187,-0.06219602759535196,0.9504404921681839,crp,kpsF.1,0.9961495305359053
factor(crp)1.3,-0.20735250910136546,1.8478926796800679,-0.11221025516333834,0.9107178789266541,crp,kpsF.1,0.9961495305359053
factor(crp)1.4,-0.013345923140668443,1.8456548938812873,-0.007230995992215462,0.9942344684806284,crp,kpsF.1,0.9961495305359053
factor(crp)1.5,0.04230012578281875,1.8462728009667044,0.022911091882342898,0.98173361045347,crp,kpsF.1,0.9961495305359053
factor(crp)1.6,0.15499936509682202,1.8487795628075199,0.08383874866154571,0.9332302267845194,crp,kpsF.1,0.9961495305359053
factor(crp)1.7,0.006336924016242026,1.3122245190661113,0.004829146174430509,0.9961495305359053,crp,kpsF.1,0.9961495305359053
factor(crp)1.8,-0.11521443722359213,1.8455871841512779,-0.06242698162025615,0.9502567007835014,crp,kpsF.1,0.9961495305359053
factor(crp)10,2.925737400181085,1.3170979990325316,2.2213513362940134,0.026935123993930443,crp,kpsF.1,0.1842542101246606
factor(crp)10.25,-0.35661870936447626,1.8402878187241412,-0.19378420360991008,0.8464517750773589,crp,kpsF.1,0.9961495305359053
factor(crp)10.8,7.1787416702954046,1.8457138827725263,3.889411970782767,1.192313665689348e-4,crp,kpsF.1,0.0017884704985340221
factor(crp)11,2.110028573905246,1.065300050306887,1.9806894529831272,0.048370319133321474,crp,kpsF.1,0.298757853470515
factor(crp)11.4,-0.058374450085654915,1.8454552935326236,-0.031631462593663194,0.9747831006910472,crp,kpsF.1,0.9961495305359053
factor(crp)113.2,1.2593836775601899,1.8525954348644031,0.6797942248261925,0.4970621549439945,crp,kpsF.1,0.9961495305359053
factor(crp)12,1.3667343583310216,1.846639696558847,0.7401196675658422,0.45969929735844106,crp,kpsF.1,0.9961495305359053
factor(crp)12.31,9.467517733269503,1.840082840457135,5.145158427170307,4.3571450884701804e-7,crp,kpsF.1,1.1437505857234223e-5
factor(crp)13,1.9921254714202716,1.3087384373679944,1.5221723566296699,0.12882469527922008,crp,kpsF.1,0.6091500419898433
factor(crp)13.5,1.6095000090134008,1.848944849369858,0.8704964940203259,0.38459661016675106,crp,kpsF.1,0.9961495305359053
factor(crp)14,0.18569710836613681,1.847961470645305,0.10048754333676216,0.9200119942823051,crp,kpsF.1,0.9961495305359053
factor(crp)14.3,0.9796950764479593,1.8406479931193167,0.5322555318074075,0.5948702250081142,crp,kpsF.1,0.9961495305359053
factor(crp)15,-0.648417054733509,1.8430948090597603,-0.35180884431240605,0.7251829869257066,crp,kpsF.1,0.9961495305359053
factor(crp)16,0.7950187346278068,0.9340216805217924,0.8511780306680554,0.3952239823649165,crp,kpsF.1,0.9961495305359053
factor(crp)19,3.5759033860251352,1.847520860629065,1.935514484425129,0.05369293451474607,crp,kpsF.1,0.31320878466935204
factor(crp)2,1.182955719690624,1.8391912381718118,0.643193429339356,0.5204991734129273,crp,kpsF.1,0.9961495305359053
factor(crp)2.1,2.2037886903426207,1.315989635864668,1.674624655303327,0.0948574578050065,crp,kpsF.1,0.4742872890250325
factor(crp)2.2,0.7570486209095982,1.3339771915479162,0.5675124175332688,0.5707121356657991,crp,kpsF.1,0.9961495305359053
factor(crp)2.3,-0.15095082745833516,1.8410821154235428,-0.08199027419459168,0.9346990229472547,crp,kpsF.1,0.9961495305359053
factor(crp)2.6,0.37699496557102896,1.850888347229255,0.20368325627819925,0.8387136123539625,crp,kpsF.1,0.9961495305359053
factor(crp)2.7,1.5585527052542991,1.8534976559065697,0.8408711498974035,0.4009661512787165,crp,kpsF.1,0.9961495305359053
factor(crp)2.8,0.3128207865443225,1.8483513128642364,0.16924314353399092,0.8656983858127909,crp,kpsF.1,0.9961495305359053
