,Feature_Type,CD_Status
kpsF.1,VFG,CD_enriched
katA.1,VFG,CD_enriched
flhB,VFG,CD_depleted
tufA.1,VFG,CD_depleted
cesB,VFG,CD_depleted
llsG,VFG,CD_depleted
clbB,VFG,CD_enriched
cheA.1,VFG,CD_enriched
eptC,VFG,CD_enriched
pmrB.1,VFG,CD_enriched
bvgS.1,VFG,CD_depleted
lafT,VFG,CD_enriched
feoB.1,VFG,CD_depleted
dhbE,VFG,CD_depleted
fbpC,VFG,CD_depleted
iroN,VFG,CD_enriched
acpP2,VFG,CD_depleted
cesC,VFG,CD_depleted
bvrR,VFG,CD_enriched
shdA,VFG,CD_enriched
papC,VFG,CD_enriched
pvdH,VFG,CD_enriched
rcsA.1,VFG,CD_enriched
ureG,VFG,CD_enriched
fimD,VFG,CD_enriched
espL1,VFG,CD_enriched
katA.2,VFG,CD_enriched
bioD.1,VFG,CD_enriched
adsA.1,VFG,CD_enriched
pchI,VFG,CD_depleted
fliI,VFG,CD_depleted
narH,VFG,CD_enriched
invD,VFG,CD_enriched
sigA/rpoV,VFG,CD_enriched
gspJ,VFG,CD_enriched
algC.1,VFG,CD_enriched
ptxR,VFG,CD_enriched
kpsE,VFG,CD_enriched
kpsD,VFG,CD_enriched
fpvA,VFG,CD_enriched
algZ.1,VFG,CD_depleted
narG.1,VFG,CD_enriched
fliH,VFG,CD_enriched
fliK,VFG,CD_enriched
rcsA.2,VFG,CD_enriched
mprA.1,VFG,CD_enriched
bvgS.2,VFG,CD_depleted
misL.1,VFG,CD_enriched
kpsF.2,VFG,CD_enriched
manB/yhxB,VFG,CD_enriched
mbtH,VFG,CD_enriched
entF,VFG,CD_enriched
phoR.1,VFG,CD_enriched
groEL,VFG,CD_depleted
pbpG,VFG,CD_depleted
mgtB.1,VFG,CD_enriched
cpsA/uppS,VFG,CD_depleted
bvrS,VFG,CD_enriched
bioD.2,VFG,CD_enriched
bioB,VFG,CD_enriched
letA,VFG,CD_enriched
ccmF,VFG,CD_enriched
ccmB,VFG,CD_enriched
bplF,VFG,CD_enriched
adeG,VFG,CD_enriched
cdsN,VFG,CD_depleted
feoB.2,VFG,CD_depleted
VV1_RS15610,VFG,CD_depleted
gtcA,VFG,CD_depleted
pilR,VFG,CD_enriched
pyrB,VFG,CD_enriched
galE,VFG,CD_enriched
clpV/tssH,VFG,CD_enriched
impA/tssA,VFG,CD_enriched
gndA,VFG,CD_enriched
flmH.1,VFG,CD_enriched
rtxB,VFG,CD_enriched
cyaB.1,VFG,CD_enriched
fslD,VFG,CD_enriched
acrB,VFG,CD_enriched
IlpA,VFG,CD_enriched
lpxA/glmU,VFG,CD_enriched
hilA,VFG,CD_enriched
sipD,VFG,CD_enriched
cheA.2,VFG,CD_depleted
hitC.1,VFG,CD_enriched
chuU,VFG,CD_enriched
hlyB,VFG,CD_depleted
clpP,VFG,CD_enriched
bioA,VFG,CD_depleted
flhA,VFG,CD_enriched
FTT_RS04105.1,VFG,CD_depleted
narG.2,VFG,CD_enriched
fimH,VFG,CD_enriched
mgtB.2,VFG,CD_enriched
phoP.1,VFG,CD_depleted
phoR.2,VFG,CD_depleted
FTT_RS04105.2,VFG,CD_depleted
hitC.2,VFG,CD_depleted
tufA.2,VFG,CD_depleted
exeF,VFG,CD_enriched
espY4,VFG,CD_enriched
phoP.2,VFG,CD_depleted
hitC.3,VFG,CD_depleted
srtG1,VFG,CD_depleted
rpoS.1,VFG,CD_depleted
ppkA.1,VFG,CD_depleted
mucP,VFG,CD_depleted
adsA.2,VFG,CD_enriched
algR,VFG,CD_enriched
mprA.3,VFG,CD_enriched
rtxE,VFG,CD_enriched
ggt,VFG,CD_enriched
rpoS.2,VFG,CD_enriched
lirB,VFG,CD_enriched
pmrB.2,VFG,CD_enriched
espR1,VFG,CD_enriched
bauE.1,VFG,CD_enriched
barB,VFG,CD_enriched
fadD22,VFG,CD_enriched
fepA,VFG,CD_enriched
cylG,VFG,CD_depleted
coxU2,VFG,CD_depleted
letS,VFG,CD_depleted
ppkA.2,VFG,CD_depleted
flhF,VFG,CD_enriched
farB.1,VFG,CD_enriched
acrA,VFG,CD_enriched
cyaB.2,VFG,CD_depleted
kpsS,VFG,CD_enriched
eccA1,VFG,CD_depleted
KP1_RS17305,VFG,CD_enriched
gspE,VFG,CD_enriched
lpxC,VFG,CD_enriched
farB.2,VFG,CD_enriched
mprA.4,VFG,CD_depleted
relA,VFG,CD_enriched
BPS_RS26875,VFG,CD_enriched
flmH.2,VFG,CD_depleted
lpeA,VFG,CD_enriched
bauE.2,VFG,CD_enriched
mntB,VFG,CD_enriched
rpoS.3,VFG,CD_depleted
algC.2,VFG,CD_enriched
vpsH,VFG,CD_depleted
gspF,VFG,CD_enriched
lpfC,VFG,CD_enriched
algZ.2,VFG,CD_enriched
wcbR,VFG,CD_enriched
pdxJ,VFG,CD_enriched
fleR/flrC,VFG,CD_enriched
fimX,VFG,CD_enriched
flrA,VFG,CD_enriched
mprA.5,VFG,CD_depleted
ybtQ,VFG,CD_depleted
mprA.2,VFG,CD_enriched
cheD,VFG,CD_enriched
phoP.3,VFG,CD_enriched
misL.2,VFG,CD_enriched
clpC,VFG,CD_depleted
cap8O,VFG,CD_enriched
rffG,VFG,CD_enriched
clbD,VFG,CD_enriched
GBS_RS06565,VFG,CD_depleted
yycJ,VFG,CD_depleted
flgG,VFG,CD_enriched
flgD,VFG,CD_enriched
flgN,VFG,CD_enriched
plcD,VFG,CD_enriched
focC,VFG,CD_enriched
pchH,VFG,CD_enriched
mprA.6,VFG,CD_enriched
flgL,VFG,CD_enriched
Escherichia_coli,Species,CD_enriched
Enterococcus_faecium,Species,CD_enriched
Limosilactobacillus_fermentum,Species,CD_enriched
Fusobacterium_nucleatum,Species,CD_enriched
Coprococcus_eutactus,Species,CD_depleted
Lachnospiraceae_bacterium,Species,CD_depleted
Blautia_SGB4815,Species,CD_depleted
Collinsella_SGB14861,Species,CD_depleted
GGB9760_SGB15373,Species,CD_depleted
GGB79734_SGB15291,Species,CD_depleted
Oscillibacter_sp_ER4,Species,CD_depleted
Oscillospiraceae_bacterium_Marseille_Q3528,Species,CD_depleted
Candidatus_Cibionibacter_quicibialis,Species,CD_depleted
GGB9758_SGB15368,Species,CD_depleted
Faecalicatena_fissicatena,Species,CD_depleted
Waltera_intestinalis,Species,CD_depleted
Faecalibacterium_prausnitzii,Species,CD_depleted
GGB51441_SGB71759,Species,CD_depleted
Coprococcus_catus,Species,CD_depleted
Christensenellaceae_bacterium_NSJ_63,Species,CD_depleted
Lachnospira_eligens,Species,CD_depleted
Gemmiger_formicilis,Species,CD_depleted
Clostridium_sp_AF34_10BH,Species,CD_depleted
Clostridiales_Family_XIII_bacterium_BX16,Species,CD_depleted
Blautia_obeum,Species,CD_depleted
Alistipes_putredinis,Species,CD_depleted
Lacrimispora_celerecrescens,Species,CD_depleted
Blautia_glucerasea,Species,CD_depleted
Clostridiaceae_bacterium_AF18_31LB,Species,CD_depleted
Lachnospira_sp_NSJ_43,Species,CD_depleted
Vescimonas_coprocola,Species,CD_depleted
Firmicutes_bacterium_AF16_15,Species,CD_depleted
Adlercreutzia_equolifaciens,Species,CD_depleted
Lachnospiraceae_bacterium_Marseille_Q4251,Species,CD_depleted
Faecalibacterium_SGB15346,Species,CD_depleted
Roseburia_inulinivorans,Species,CD_depleted
Anaerobutyricum_hallii,Species,CD_depleted
Dorea_longicatena,Species,CD_depleted
GGB79973_SGB14341,Species,CD_depleted
Ruminococcus_bicirculans,Species,CD_depleted
Clostridiales_bacterium_KLE1615,Species,CD_depleted
Coprococcus_comes,Species,CD_depleted
Dorea_formicigenerans,Species,CD_depleted
Clostridiaceae_bacterium_Marseille_Q4149,Species,CD_depleted
Dorea_sp_AF24_7LB,Species,CD_depleted
Coprococcus_SGB4669,Species,CD_depleted
GGB9699_SGB15216,Species,CD_depleted
Lachnospiraceae_bacterium_NSJ_29,Species,CD_depleted
Eubacteriaceae_bacterium,Species,CD_depleted
Dorea_sp_AF36_15AT,Species,CD_depleted
Eubacterium_rectale,Species,CD_depleted
Blautia_luti,Species,CD_depleted
Fusicatenibacter_saccharivorans,Species,CD_depleted
Ruminococcus_bromii,Species,CD_depleted
Clostridium_leptum,Species,CD_depleted
Clostridiaceae_bacterium,Species,CD_depleted
Bacteroides_uniformis,Species,CD_depleted
Blautia_faecis,Species,CD_depleted
Ruminococcus_sp_NSJ_13,Species,CD_depleted
Lachnospiraceae_bacterium_NSJ_46,Species,CD_depleted
Phocaeicola_plebeius,Species,CD_depleted
Ruminococcus_lactaris,Species,CD_depleted
Collinsella_aerofaciens,Species,CD_depleted
Blautia_sp_Marseille_P3087,Species,CD_depleted
Blautia_stercoris,Species,CD_depleted
Enterococcus_SGB6173,Species,CD_depleted
Eggerthella_lenta,Species,CD_depleted
Parabacteroides_merdae,Species,CD_depleted
Romboutsia_timonensis,Species,CD_depleted
Bacteroides_caccae,Species,CD_depleted
Eubacterium_sp_AF34_35BH,Species,CD_depleted
Faecalibacillus_intestinalis,Species,CD_depleted
Butyricimonas_SGB15260,Species,CD_depleted
Anaerobutyricum_soehngenii,Species,CD_depleted
Eubacterium_ramulus,Species,CD_depleted
Clostridium_SGB4750,Species,CD_depleted
